"DATE","TIME PERIOD","Total excess reserves of credit institutions subject to minimum reserve requirements in Austria (BSI.M.AT.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Belgium (BSI.M.BE.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Cyprus (BSI.M.CY.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Germany (BSI.M.DE.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Estonia (BSI.M.EE.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Spain (BSI.M.ES.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Finland (BSI.M.FI.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in France (BSI.M.FR.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Greece (BSI.M.GR.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Ireland (BSI.M.IE.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Italy (BSI.M.IT.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Lithuania (BSI.M.LT.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Luxembourg (BSI.M.LU.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Latvia (BSI.M.LV.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Malta (BSI.M.MT.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Netherlands (BSI.M.NL.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Portugal (BSI.M.PT.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Slovenia (BSI.M.SI.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Slovakia (BSI.M.SK.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Croatia (BSI.M.HR.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in the euro area (BSI.M.U2.N.R.LRE.X.1.A1.3000.Z01.E)"
"2022-04-30","2022Apr","123271.27","132846.77","21640.23","1079986.87","7996.22","336829.96","124550.65","852899.91","45838.16","98705.22","297986.90","12298.49","144653.85","5650.94","7005.04","399395.52","58853.05","8319.24","11808.53","","3770536.84"
"2022-06-30","2022Jun","126395.12","148074.63","21455.35","1103720.01","8179.53","347094.60","117938.43","889700.27","48570.99","98600.95","300604.10","11982.03","154849.53","5412.44","6783.01","419392.95","60028.92","8177.18","11384.47","","3888344.50"
"2022-07-31","2022Jul","116534.80","167017.89","21446.16","1065770.10","7260.72","365116.45","119187.45","838523.98","48761.33","101503.48","269111.39","12780.22","153854.00","5353.22","6593.22","402897.86","61455.74","7657.91","11649.92","","3782475.84"
"2022-09-30","2022Sep","117090.47","145502.23","21918.63","1064558.61","7641.90","356666.34","123663.00","829537.32","49244.64","97815.64","295880.42","14614.94","147154.81","5236.42","6072.39","410566.88","61975.35","7699.38","11885.11","","3774724.48"
"2022-11-30","2022Nov","4125.28","3646.57","655.97","81545.80","243.18","6760.01","4940.32","23079.34","271.14","8625.00","5566.95","3474.81","14413.65","242.06","231.05","6980.26","1460.71","865.97","552.36","","167680.41"
"2022-12-31","2022Dec","1004.06","877.30","270.42","14336.36","112.95","4954.02","1802.43","8295.57","65.80","4238.71","2224.70","820.55","6056.84","123.59","404.68","684.55","535.93","160.24","174.16","","47142.87"
"2023-02-28","2023Feb","448.29","537.52","182.16","8336.60","95.21","1739.00","806.13","5806.75","72.40","925.78","1816.49","543.71","4983.93","108.41","561.23","275.83","286.77","65.25","20.41","474.88","28086.75"
"2023-03-31","2023Mar","755.96","379.25","90.68","9650.90","101.34","1134.83","760.94","5787.50","274.96","821.74","1406.01","267.57","3703.73","93.93","559.36","249.43","237.13","58.05","66.91","40.44","26440.65"
"2023-05-31","2023May","317.03","184.43","78.88","4617.64","89.93","655.85","1246.16","3540.61","102.49","1090.60","1014.28","305.52","2928.66","15.21","24.16","334.83","233.61","51.64","53.37","30.16","16915.07"
"2023-06-30","2023Jun","352.78","174.86","88.86","6976.35","89.12","586.34","405.96","2706.18","45.63","544.07","817.19","289.84","2702.31","12.95","16.22","587.33","313.54","13.50","61.99","26.76","16811.78"
"2023-08-31","2023Aug","264.61","191.68","85.98","3513.55","74.66","610.68","666.42","3446.51","61.30","528.53","646.17","211.02","1400.51","8.27","22.12","165.51","333.30","20.14","10.76","26.24","12287.97"
"2023-09-30","2023Sep","251.55","109.20","81.69","2750.28","48.56","511.25","207.75","1717.83","42.74","230.47","497.97","221.75","1786.41","3.77","10.01","191.88","289.45","20.09","32.09","20.93","9025.69"
"2023-10-31","2023Oct","177.00","131.53","81.96","3037.19","44.43","421.13","150.03","2657.15","63.42","102.21","513.47","165.46","1981.00","9.61","9.72","140.81","287.25","14.76","5.38","18.65","10012.14"
"2023-12-31","2023Dec","155.09","90.94","29.05","2695.17","31.52","428.70","147.02","1626.17","48.55","171.65","508.53","114.44","1547.66","4.06","10.05","166.32","291.48","11.82","18.36","20.32","8116.87"
"2024-01-31","2024Jan","130.13","136.76","16.53","2298.53","41.99","440.16","239.64","1946.27","77.46","219.97","516.85","96.00","1496.37","5.15","23.28","132.21","304.20","5.19","3.23","45.42","8175.34"
"2024-03-31","2024Mar","99.27","97.37","7.11","2133.68","40.83","399.68","173.58","1442.02","38.00","204.87","374.70","131.02","1379.60","4.97","8.81","393.19","283.97","5.37","3.30","17.00","7238.34"
"2024-04-30","2024Apr","734.27","348.42","10.62","1793.25","40.08","640.24","253.47","1114.82","41.48","154.28","415.72","75.42","748.49","5.79","7.87","110.14","261.08","17.33","6.32","19.42","6798.51"
"2024-06-30","2024Jun","160.70","96.96","12.21","1880.32","34.02","374.51","141.15","1059.48","37.25","157.01","209.88","63.49","699.44","7.85","7.52","157.38","267.39","14.42","4.53","18.04","5403.55"
"2024-07-31","2024Jul","95.65","77.41","8.84","1557.87","34.03","413.57","197.51","1105.38","36.40","131.06","167.25","78.16","1544.72","30.06","17.31","223.13","411.87","20.95","3.00","26.27","6180.44"
